loan_id,propname,orig_date,end_date,loan_size_mm,ltv,occ_at_orig,occ,noi_at_orig,noi,is_30d,is_90d,severity
3112,Property1,2006-06-28,2017-08-01,4.1,70.39,99.45,99.45,397970.18,211145.25999999998,True,True,0.6683251609756098
205870,Property2,2014-09-29,2024-09-01,27.785,63.1,90.13000000000001,90.13000000000001,3013081.22,3694785.29,False,False,0.0
53043,Property3,2006-11-21,2022-11-01,100.0,30.12,98.94999999999999,98.94999999999999,11542664.72,13235892.360000001,False,False,0.0
14038,Property4,2008-06-27,2023-01-01,2.374,70.24,100.0,100.0,233502.3,191858.97999999998,False,False,0.3100047683235046
1898,Property5,2007-02-28,2021-05-01,38.4,78.9,86.52,91.62,2580116.42,2271678.06,True,True,0.0
48395,Property6,2013-10-23,2024-08-01,5.61164539,74.82,94.86,94.86,710550.7,1126878.13,False,False,0.0
30877,Property7,2005-12-28,2018-11-01,1.99079212,25.0,100.0,100.0,308113.36,380075.45,False,False,0.0
14477,Property8,2004-11-23,2021-08-01,4.8,80.0,100.0,100.0,485798.62,492145.18,False,False,0.0
19972,Property9,2006-06-21,2021-06-01,1.69857983,62.9,96.12,96.12,172930.17,288858.87,False,False,0.0
116594,Property10,2005-08-24,2022-08-01,10.4666359,75.6,100.0,100.0,1064872.57,703900.7799999999,True,True,0.4985237119025034
59824,Property11,2006-11-21,2022-11-01,1.54093859,38.52,97.66,97.66,371324.2,221410.51,False,False,0.0
70990,Property12,2007-04-18,2024-09-01,1.2149999999999999,65.3,99.83,99.83,121821.76,111391.81999999999,False,False,0.0
117305,Property13,2005-12-29,2017-06-01,5.29,73.78,99.31,99.31,438916.26,438446.43,False,False,0.0
14457,Property14,2005-10-13,2019-07-01,56.93522635,79.91,100.0,100.0,4990216.03,5878491.3100000005,False,False,0.0
67624,Property15,2006-11-29,2018-01-01,1.63299876,52.68,94.84,94.84,173313.95,125729.98999999999,True,True,0.014123715562404958
41546,Property16,2004-05-27,2020-03-01,0.4994682,25.0,,92.32,929014.45,28521.45,False,False,0.0
