repeat,fold,train_loans,validation_loans,train_properties,validation_properties,train_positive_share,validation_positive_share,property_overlap,model,target_policy,r2,mse,rmse,mae,bias,loan_balance_weighted_mse,prediction_min,prediction_max,pct_predictions_below_zero,pct_predictions_above_one
1,1,31790,7909,29582,7396,0.1615916955017301,0.1571627260083449,0,linear_current_state,raw supplied severity,0.5179500210502712,0.018751406374188494,0.13693577463244766,0.06620441786491506,-6.578414932526144e-05,0.024417005324991466,-0.18385228208739635,0.6804935301546979,0.31672777848021244,0.0
1,1,31790,7909,29582,7396,0.1615916955017301,0.1571627260083449,0,hurdle_current_state,raw supplied severity,0.5851742246486378,0.01613643196302767,0.12702925632714565,0.04830910887544421,-0.001670382089885726,0.02019251628624359,4.257198398467252e-05,1.1148346867573282,0.0,0.00012643823492224047
1,2,31778,7921,29582,7396,0.1605827931273208,0.1612170180532761,0,linear_current_state,raw supplied severity,0.5286181590128567,0.018411731004101532,0.1356898338273783,0.0659964216514373,-0.0023506456268256046,0.02337479626162312,-0.165666042186974,0.6611762702725841,0.3267264234313849,0.0
1,2,31778,7921,29582,7396,0.1605827931273208,0.1612170180532761,0,hurdle_current_state,raw supplied severity,0.5946754505511341,0.015831595375382118,0.12582366778703488,0.04819771300656933,-0.0026357617138204246,0.021243905636587162,5.2631858235041985e-05,0.9552684222404816,0.0,0.0
1,3,31768,7931,29582,7396,0.1607277763787459,0.16063548102383055,0,linear_current_state,raw supplied severity,0.34133401698429167,0.04097720355265306,0.20242826767191646,0.06842531990287913,-0.0020628420859224272,0.0404634068894713,-0.34960366343157634,0.8039100482560215,0.31370571176396417,0.0
1,3,31768,7931,29582,7396,0.1607277763787459,0.16063548102383055,0,hurdle_current_state,raw supplied severity,0.3891063195743548,0.038005173088214654,0.1949491551359345,0.050499527056963985,-0.002514580459914296,0.0360804740966817,3.9826757440409874e-05,0.9326882971864338,0.0,0.0
1,4,31762,7937,29583,7395,0.16176563188716075,0.15648229809751796,0,linear_current_state,raw supplied severity,0.5129230911542263,0.01719452214588528,0.13112788469995723,0.06427880279353143,0.0053625565294999535,0.019732924839032717,-0.1598040643794194,0.7742542238463196,0.30981479148292806,0.0
1,4,31762,7937,29583,7395,0.16176563188716075,0.15648229809751796,0,hurdle_current_state,raw supplied severity,0.5911479182342776,0.014433072163020508,0.1201377216490329,0.04637810926582286,0.002607379411411495,0.01584629375344064,2.4883578631444858e-05,1.0777735690825274,0.0,0.00025198437696862794
1,5,31698,8001,29583,7395,0.15887437693229856,0.1679790026246719,0,linear_current_state,raw supplied severity,0.5303823569086751,0.018377503443011863,0.13556365089142391,0.06644508315190069,-0.0009356052651705297,0.02096619845118432,-0.11523701546418046,0.7125249892849742,0.3172103487064117,0.0
1,5,31698,8001,29583,7395,0.15887437693229856,0.1679790026246719,0,hurdle_current_state,raw supplied severity,0.6089211058743319,0.015304053902178661,0.12370955461151197,0.048503748962769315,-0.003791777770307026,0.0166792426225982,4.919639303906976e-05,0.9344775694394635,0.0,0.0
2,1,31749,7950,29582,7396,0.16019402185895618,0.1627672955974843,0,linear_current_state,raw supplied severity,0.5260106315369102,0.017539386648732374,0.13243634942391147,0.06490546016094138,0.0020162946179635294,0.0207296585563657,-0.16706600972816937,0.7045399847904303,0.3127044025157233,0.0
2,1,31749,7950,29582,7396,0.16019402185895618,0.1627672955974843,0,hurdle_current_state,raw supplied severity,0.6090525293547484,0.01446652457464345,0.12027686633199025,0.046797195575010775,2.792717607328582e-05,0.016422834191844465,1.71691144046846e-05,1.1515094958463212,0.0,0.0003773584905660377
