model,dimension,subgroup,n,actual_mean,predicted_mean,mse,mae
linear_current_state,actual_loss_status,positive severity,1243,0.4341164566692138,0.30687522991700117,0.08429394277320124,0.21812278363170123
linear_current_state,actual_loss_status,zero severity,6666,0.0,0.023648448547252742,0.0065297782997851325,0.037876405766487924
linear_current_state,delinquency_status,30–89 days,393,0.06453587481420814,0.06076456981326826,0.0294094307680162,0.09754231385556654
linear_current_state,delinquency_status,90+ days,1172,0.3981136747500888,0.39396067297970316,0.09292595856279323,0.2562903073998731
linear_current_state,delinquency_status,not 30 days delinquent,6344,0.007511811164997611,0.008430656389343108,0.0043880427626155055,0.029146338473474826
linear_current_state,office_group,mixed office,182,0.08735604110704628,0.10886818768974245,0.029897092329274417,0.09488067216687321
linear_current_state,office_group,non office,6359,0.059369538131323944,0.05932499260815338,0.01655063323348837,0.06082999906632831
linear_current_state,office_group,office,1367,0.1069327455605423,0.10384718985868732,0.027515586014538417,0.08738754380778885
linear_current_state,office_group,unknown mixed,1,0.0,0.0657221112131613,0.004319395902315141,0.0657221112131613
hurdle_current_state,actual_loss_status,positive severity,1243,0.4341164566692138,0.32109547119795395,0.0775229137077169,0.2049901119099103
hurdle_current_state,actual_loss_status,zero severity,6666,0.0,0.019093014250205483,0.004689777776311698,0.019093014250205483
hurdle_current_state,delinquency_status,30–89 days,393,0.06453587481420814,0.05561290368721128,0.02711562552144451,0.08020123689211292
hurdle_current_state,delinquency_status,90+ days,1172,0.3981136747500888,0.3877903381509981,0.08031056531938068,0.22768759017148857
hurdle_current_state,delinquency_status,not 30 days delinquent,6344,0.007511811164997611,0.00788927431098403,0.0036006647243606604,0.013194798284410982
hurdle_current_state,office_group,mixed office,182,0.08735604110704628,0.11357694276184194,0.029526361169840518,0.07671283824023309
hurdle_current_state,office_group,non office,6359,0.059369538131323944,0.05805732053089364,0.014245811677654194,0.042767730491669834
hurdle_current_state,office_group,office,1367,0.1069327455605423,0.09987317439054214,0.023160199233399282,0.0703317029108923
hurdle_current_state,office_group,unknown mixed,1,0.0,0.011569460447556123,0.00013385241504756552,0.011569460447556123
