propname,cssaproptype,proptype,proptypelong,state,msa_category,year_built,sqft
Property28474,OF,Office,Suburban,MI,Top 25,1986.0,84953.0
Property33264,OF,Office,Suburban,NJ,Top 25,1982.0,33190.0
Property4236,OF,Office,Suburban,MA,Boston,1977.0,55260.0
Property24285,OF,Office,,OH,26-50,1996.0,462026.0
Property12551,MU,Mixed Use,Office/Warehouse,NY,Other,1986.0,181736.0
Property408,MF,Multifamily,Conventional,CT,51-100,1883.0,
Property17799,CH,Multifamily,Cooperative,NY,NYC,1926.0,
Property23460,CH,Multifamily,Cooperative,NY,NYC,1935.0,
Property2129,MU,Mixed Use,Office/Retail,MA,Boston,2006.0,16231.0
Property20213,OF,Office,Medical,NY,NYC,1966.0,62177.0
Property7746,IN,Industrial,Warehouse,NY,NYC,1984.0,45950.0
Property32566,RT,Retail,Unanchored,CA,Top 25,1909.0,24089.0
Property34900,RT,Retail,Unanchored,NY,NYC,1968.0,14408.0
Property14242,IN,Industrial,Warehouse/Distribution,NJ,NYC,1951.0,58993.0
Property4991,MF,Multifamily,Garden,NJ,NYC,1975.0,
Property7733,RT,Retail,Anchored,NY,NYC,1965.0,21652.0
Property6743,IN,Industrial,Office/Warehouse,NY,Other,1958.0,89003.0
Property34772,MU,Mixed Use,Retail/Hospitality,NJ,NYC,1984.0,111473.0
Property16781,OF,Office,Suburban,CT,51-100,1979.0,31845.0
Property20067,OF,Office,CBD,IL,Top 25,1890.0,39177.0
Property29976,RT,Retail,Anchored,NY,NYC,1923.0,19661.0
Property10404,OF,Office,Urban,NY,NYC,1986.0,29496.0
Property24872,CH,Multifamily,Cooperative,NY,NYC,1892.0,
Property31845,OF,Office,Medical,MA,Boston,1968.0,155892.0
Property31440,OF,Office,Suburban,PA,Top 25,1999.0,44019.0
Property28020,IN,Industrial,Flex,NJ,NYC,1960.0,144008.0
Property2109,IN,Industrial,Light,NJ,NYC,1959.0,143379.0
Property31802,OF,Office,General Suburban,DE,Top 25,1988.0,39410.0
Property4147,OF,Office,CBD,OH,51-100,1973.0,145971.0
Property21383,OF,Office,CBD,MD,Top 25,1971.0,168392.0
Property28506,MF,Multifamily,Mid/High Rise,PA,51-100,1977.0,
Property27740,IN,Industrial,Warehouse,NJ,NYC,1969.0,85446.0
Property1162,RT,Retail,Unanchored,NH,Other,1997.0,9786.0
Property6323,CH,Multifamily,Cooperative,NY,NYC,1925.0,
Property17514,OF,Office,Suburban,NJ,NYC,1986.0,120550.0
Property13786,IN,Industrial,Flex,NY,NYC,1957.0,106444.0
Property12764,MF,Multifamily,Elevator,NY,NYC,1900.0,
Property32764,MF,Multifamily,High Rise,TN,26-50,1902.0,
Property29188,OF,Office,CBD,MA,Other,1904.0,223469.0
Property32985,OF,Office,Medical,CT,51-100,1963.0,21253.0
Property22955,OF,Office,Suburban,NJ,NYC,1987.0,25183.0
Property20363,OF,Office,Suburban,NY,NYC,1987.0,50625.0
Property20008,OF,Office,CBD,MD,Top 25,1891.0,179256.0
Property7336,CH,Multifamily,Cooperative,NY,NYC,1929.0,
Property11832,MF,Multifamily,Garden,NY,NYC,1952.0,
Property29219,OF,Office,Urban,NJ,NYC,1925.0,158009.0
Property20554,OF,Office,CBD,GA,Top 25,1929.0,136678.0
